Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"KIMBALL, Mr Edwin Nelson Jr.",42,1st Class Passenger,11753£52 11s 1d,Southampton,,5
"KIMBALL, Mrs Susan Gertrude",45,1st Class Passenger,11753£52 11s 1d,Southampton,,5
"KINCHENTEN, Mr Frederick Charles",36,Engineering Crew,,Southampton,Greaser,
"KING, Mr Thomas Walter",42,Deck Crew,,Southampton,Master-at-arms,
"KING, Mr Alfred John Moffett",18,Victualling Crew,,Southampton,Lift Steward,[238]
"KING, Mr Ernest Waldron",28,Victualling Crew,,Southampton,Clerk (1st class),[321]
"KINGSCOTE, Mr William Ford",48,Victualling Crew,,Southampton,Saloon Steward (1st class),
"KINK, Mr Anton",29,3rd Class Passenger,315153£22 6d,Southampton,,2
"KINK, Miss Maria",23,3rd Class Passenger,315152£8 13s 3d,Southampton,,
"KINK, Mr Vincenz",26,3rd Class Passenger,315151£8 13s 3d,Southampton,Magazineer,
"KINK-HEILMANN, Mrs Luise",26,3rd Class Passenger,315153£22 6d,Southampton,,2
"KINK-HEILMANN, Miss Luise Gretchen",4,3rd Class Passenger,315153£22 6d,Southampton,,2
"KINSELLA, Mr Louis",30,Engineering CrewSubstitute Crew,,Southampton,Fireman,
"KIRKALDY, Mr Thomas Benjamin",35,Victualling Crew,,Southampton,Bed Room Steward,
"KIRKHAM, Mr James",43,Engineering Crew,,Southampton,Greaser,
"KIRKLAND, Fr Charles Leonard",71,2nd Class Passenger,219533£12 7s,Queenstown,Priest / Minister,
"KITCHING, Mr Arthur Alfred",31,Victualling Crew,,Southampton,Saloon Steward (1st class),
"KLABER, Mr Herman",41,1st Class Passenger,113028£26 11s,Southampton,Businessman,
"KLASÉN, Mr Klas Albin",18,3rd Class Passenger,350404£7 17s 1d,Southampton,Farm Labourer,
"KLASÉN, Miss Gertrud Emilia",1,3rd Class Passenger,350405£12 3s 8d,Southampton,,
"KLASÉN, Mrs Hulda Kristina Eugenia",36,3rd Class Passenger,350405£12 3s 8d,Southampton,Housewife,
"KLEIN, Mr Herbert",34,Victualling Crew,,Southampton,Barber,
"KNEESE, Miss",,2nd Class PassengerCross Channel Passenger,47£2,Southampton,,
"KNIGHT, Mr George",46,Victualling Crew,,Southampton,Saloon Steward,13* 
"KNIGHT, Mr Leonard George",21,Victualling Crew,,Southampton,Steward (3rd class),
"KNIGHT, Mr Robert",42,2nd Class PassengerH&W Guarantee Group,239855,Belfast,Fitter,
"KNOWLES, Mr Thomas",44,Engineering Crew,,Southampton,Firemens' Messman,C* 
"KOLEV, Mr Sotir",24,3rd Class Passenger,349209£7 17s 11d,Southampton,General Labourer,
"KOLEV, Mr Petr",36,3rd Class Passenger,349210£7 17s 11d,Southampton,General Labourer,
"KRAEFF, Mr Theodor",,3rd Class Passenger,349253£7 17s 11d,Cherbourg,General Labourer,
"KREKORIAN, Mr Neshan",25,3rd Class Passenger,2654£7 4s 7d,Cherbourg,General Labourer,10* 
"KREUCHEN, Miss Emilie",29,1st Class PassengerServant,24160£211 6s 9d,Southampton,Personal Maid,2
"KRINS, Mr Georges Alexandre",23,2nd Class PassengerMusician,250654,Southampton,Musician,
"KUTSCHER (LITHMAN), Mr Simon",27,3rd Class Passenger,251£7 11s,Southampton,Baker,
"KVILLNER, Mr Johan Henrik Johannesson",31,2nd Class Passenger,18723£10 10s,Southampton,Mechanical Engineer,[165]
"LACEY, Mr Bertie William",19,Victualling Crew,,Southampton,"Assistant Saloon steward, 2nd Class",
"LAHH?D ISHAQ MU'AWWAD, Mr Sark?s",35,3rd Class Passenger,2624£7 4s 6d,Cherbourg,General Labourer,
"LAHTINEN, Rev. William",35,2nd Class Passenger,250651£26,Southampton,Priest / Minister,
"LAHTINEN, Mrs Anna Amelia",34,2nd Class Passenger,250651£26,Southampton,,
"LAHY, Mr T.",41,Engineering Crew,,Southampton,Fireman,
"LAITINEN, Miss Kristina Sofia",38,3rd Class Passenger,4135£9 11s 9d,Southampton,Housekeeper,
"LAKE, Mr William",46,Victualling Crew,,Belfast,Saloon Steward (1st class),
"LAM, Mr Ah",38,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
"LAM, Mr Len",23,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
"LAMB, Mr John J.",31,2nd Class Passenger,240261£10 14s 2d,Queenstown,Jeweller,
"LANDERGREN, Miss Aurora Adelia",22,3rd Class Passenger,7077£7 5s,Southampton,,13* 
"LANE, Mr Albert Edward",33,Victualling Crew,,Southampton,Saloon Steward (1st class),
"LANE, Mr Patrick",16,3rd Class Passenger,7935£7 15s,Queenstown,Farm Labourer,
"LANG, Mr Fang",17,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,14* 
"LAROCHE, Mr Joseph Philippe Lemercier",25,2nd Class Passenger,2123£41 11s 7d,Cherbourg,Engineer,
"LAROCHE, Mrs Juliette Marie Louise",22,2nd Class Passenger,2123£41 11s 7d,Cherbourg,,10* 
"LAROCHE, Miss Louise",1,2nd Class Passenger,2123£41 11s 7d,Cherbourg,,10* 
"LAROCHE, Miss Simonne Marie Anne Andrée",3,2nd Class Passenger,2123£41 11s 7d,Cherbourg,,10* 
"LARSSON, Mr August Viktor",29,3rd Class Passenger,7545£9 9s 8d,Southampton,Locksmith,
"LARSSON, Mr Bengt Edvin",29,3rd Class Passenger,347067£7 15s 6d,Southampton,General Labourer,
"LATIMER, Mr Andrew",55,Victualling Crew,,Belfast,Chief Steward,
"LAVINGTON, Miss Elizabeth",40,Victualling Crew,,Southampton,Stewardess,11* 
"LAWRANCE, Mr Arthur",36,Victualling Crew,,Belfast,Saloon Steward (1st class),[90]
"LEADER, Mr Archibald",22,Victualling Crew,,Southampton,Confectioner,
"LEADER, Dr Alice May",49,1st Class Passenger,17465£25 18s 7d,Southampton,Doctor,8
"LEATHER, Mrs Elizabeth Mary",50,Victualling Crew,,Southampton,Stewardess,16
"LEE, Mr Herbert Henry",17,Engineering Crew,,Southampton,Trimmer,
"LEE, Mr Reginald Robinson",41,Deck Crew,,Southampton,Lookout,13
"LEE, Mr Henry Reginald",29,Victualling Crew,,Southampton,Scullion,
"LEFEBVRE, Mr Paul Georges",35,Victualling Crew,,Southampton,Saloon Steward,[211]
"LEFEBVRE, Mrs Frances Marie",40,3rd Class Passenger,4133£25 9s 4d,Southampton,,
"LEFEBVRE, Master Henry",5,3rd Class Passenger,4133£25 9s 4d,Southampton,,
"LEFEBVRE, Miss Ida",3,3rd Class Passenger,4133£25 9s 4d,Southampton,,
"LEFEBVRE, Miss Jeannie",8,3rd Class Passenger,4133£25 9s 4d,Southampton,,
"LEFEBVRE, Miss Mathilde",12,3rd Class Passenger,4133£25 9s 4d,Southampton,,
"LEHMANN, Miss Bertha",17,2nd Class Passenger,1748£12,Cherbourg,,12
"LEINONEN, Mr Antti Gustaf",32,3rd Class Passenger,3101292£7 18s 6d,Southampton,,
"LEITCH, Miss Jessie Wills",31,2nd Class Passenger,248727£33,Southampton,,11
"LEMORE, Mrs Amelia",39,2nd Class Passenger,34260£10 10s,Southampton,,14
"LENNON, Mr Denis",20,3rd Class Passenger,370371£15 10s,Queenstown,General Labourer,
"LENOX-CONYNGHAM, Mrs Barbara Josephine",44,1st Class PassengerCross Channel Passenger,84£3,Southampton,,
"LENOX-CONYNGHAM, Master Dennis Hugh",10,1st Class PassengerCross Channel Passenger,84£3,Southampton,,
"LENOX-CONYNGHAM, Miss Eileen",11,1st Class PassengerCross Channel Passenger,84£3,Southampton,,
"LENOX-CONYNGHAM, Miss Harriet Alice Katherine",34,1st Class PassengerCross Channel Passenger,75£1 10s,Southampton,,
"LEONARD, Mr Matthew",25,Victualling Crew,,Belfast,3rd Class Steward,
"LEROY, Miss Berthe",27,1st Class PassengerServant,17761£106 8s 6d,Cherbourg,Personal Maid,2
"LESTER, Mr James",41,3rd Class Passenger,48871£24 3s,Southampton,Dipper,
"LESUEUR, Mr Louis Gustave Joseph",35,1st Class PassengerServant,17755£512 6s 7d,Cherbourg,Servant,3
"LEVETT, Mr George Alfred",25,Victualling Crew,,Belfast,Assistant Pantryman Steward (1st Class),
"LÉVY, Mr René Jacques",36,2nd Class Passenger,2163£12 17s 6d,Southampton,Chemist,
"LEWIS, Mr James",40,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"LEWIS, Mr Arthur Ernest Read",27,Victualling Crew,,Southampton,Steward,15
"LEWY, Mr Ervin G.",30,1st Class Passenger,17612£27 14s 5d,Cherbourg,Jeweller,
"LEYSON, Mr Robert William Norman",25,2nd Class Passenger,29566£10 10s,Southampton,Solicitor,[108]
"LIEVENS, Mr René Aimé",24,3rd Class Passenger,345781£9 10s,Southampton,Farmer,
"LIGHT, Mr Christopher William",20,Engineering Crew,,Southampton,Fireman,
"LIGHT, Mr W.",47,Engineering Crew,,Southampton,Fireman,
"LIGHT, Mr Charles Edward",24,Victualling Crew,,Southampton,Plate Steward (1st class),
"LIGHTOLLER, Mr Charles Herbert",38,Deck CrewTitanic Officers,,Belfast,2nd. Officer,B 
"LIND, Mr Erik Gustaf",42,1st Class Passenger,17475£26 11s,Southampton,Businessman,
"LINDAHL, Miss Agda Thorilda Viktoria",25,3rd Class Passenger,347071£7 15s 6d,Southampton,,
"LINDBLOM, Miss Augusta Charlotta",45,3rd Class Passenger,347073£7 15s,Southampton,,
"LINDELL, Mr Edvard Bengtsson",36,3rd Class Passenger,349910£15 11s,Southampton,General Labourer,A 
"LINDELL, Mrs Elin Gerda",30,3rd Class Passenger,349910£15 11s,Southampton,,A 
"LINDQVIST, Mr Eino William",20,3rd Class Passenger,3101285£7 18s 6d,Southampton,,
"LINDSAY, Mr William Charles",30,Engineering Crew,,Southampton,Fireman,B* 
"LINDSTRÖM, Mrs Sigrid",55,1st Class Passenger,112377£27 14s 5d,Cherbourg,,
"LINEHAN, Mr Michael",21,3rd Class Passenger,330971£7 17s 7d,Queenstown,Farm Labourer,
"LINES, Mrs Elizabeth Lindsey",50,1st Class Passenger,17592£39 8s,Cherbourg,,9
"LINES, Miss Mary Conover",16,1st Class Passenger,17592£39 8s,Cherbourg,,9
"LING, Mr Lee",28,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
"LINGANE, Mr John",61,2nd Class Passenger,235509£12 7s,Queenstown,Gentleman,
"LINHART, Mr Wenzel",28,3rd Class Passenger,345775£9 10s,Southampton,Baker,[298]
"LITTLE, Mr James",49,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"LITTLEJOHN, Mr Alexander James",40,Victualling Crew,,Belfast,Saloon Steward (1st class),13
"LIVSHIN, Mr David",25,3rd Class Passenger,374887£7 5s,Southampton,Jeweller,B 
"LLOYD, Mr William",29,Engineering CrewSubstitute Crew,,Southampton,Fireman,
"LLOYD, Mr Humphrey",41,Victualling Crew,,Belfast,Saloon Steward (1st class),[57]
"LOBB, Mr William Arthur",31,3rd Class Passenger,3336£16 2s,Southampton,Engineer,
"LOBB, Mrs Cordelia",34,3rd Class Passenger,3336£16 2s,Southampton,,[55]
"LOCKE, Mr Albert George",33,Victualling CrewSubstitute Crew,,Southampton,Scullion,
"LOCKYER, Mr Edward Thomas",19,3rd Class Passenger,1222£7 17s 7d,Southampton,Grocers Assistant,[153]
"LONG, Mr Frank",31,Engineering Crew,,Southampton,Trimmer,
"LONG, Mr William",36,Engineering Crew,,Southampton,Trimmer,
"LONG, Mr Milton Clyde",29,1st Class Passenger,113501£30,Southampton,,[126]
"LONGLEY, Miss Gretchen Fiske",21,1st Class Passenger,13502£77 19s 2d,Cherbourg,,10
"LONGMUIR, Mr John Dickson",19,Victualling Crew,,Southampton,Assistant Pantry Steward (2nd class),
"LORING, Mr Joseph Holland",30,1st Class Passenger,113801£45 10s,Southampton,Stockbroker,
"LOUCH, Mr Charles",50,2nd Class Passenger,3085£26,Southampton,Saddler,[121]
"LOUCH, Mrs Alice Adelaide",42,2nd Class Passenger,3085£26,Southampton,,12* 
"LOUGHRAN, Mr Joseph",29,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"LOVELL, Mr John",37,Victualling Crew,,Southampton,Grill Cook,
"LOVELL, Mr John Hall",20,3rd Class Passenger,21173£7 5s,Southampton,Farmer,
"LOWE, Mr Harold Godfrey",29,Deck CrewTitanic Officers,,Belfast,5th. Officer,14
"LOWERY, Mr David",31,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"LUCAS, Mr William Arthur",25,Deck Crew,,Southampton,Able Seaman,D 
"LUCAS, Mr William Watson",31,Victualling Crew,,Belfast,Saloon Steward (1st class),A* 
"LULI?, Mr Nikola",29,3rd Class Passenger,315098£8 13s 3d,Southampton,,
"LUNDAHL, Mr Johan Svensson",50,3rd Class Passenger,347743£7 1s 1d,Southampton,General Labourer,
"LUNDIN, Miss Olga Elida",23,3rd Class Passenger,347469£7 17s 1d,Southampton,,
"LUNDSTRÖM, Mr Thure Edvin",32,3rd Class Passenger,350403£7 11s 7d,Southampton,,
"LURETTE, Miss Eugénie Elise",59,1st Class PassengerServant,17569£146 10s 5d,Cherbourg,Personal Maid,
"LYDIATT, Mr Charles",45,Victualling Crew,,Southampton,Saloon Steward (1st class),
"LYMPEROPOULUS, Mr Panagiotis K.",30,3rd Class Passenger,2683£6 8s 9d,Cherbourg,General Labourer,[196]
"LYNTAKOFF, Mr Stanko",44,3rd Class Passenger,349235£7 17s 11d,Southampton,General Labourer,
"LYONS, Mr William Henry",25,Deck Crew,,Southampton,Able Seaman,4
"LYTLE, Mr Thomas",31,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"LYTTLE, Mr James",30,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MABEY, Mr John Charles",23,Victualling Crew,,Southampton,3rd Class Steward,
"MACINTOSH, Mr Joseph",60,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"MACK, Mrs Mary",57,2nd Class Passenger,S.O./C. 3£10 10s,Southampton,,[52]
"MACKAY, Mr George William",20,3rd Class Passenger,42795£7 11s,Southampton,Footman,
"MACKIE, Mr William Dickson",32,Engineering Crew,,Belfast,Junior 5th. Engineer,
"MACKIE, Mr George William",34,Victualling Crew,,Southampton,2nd Class Bedroom Steward,
"MADIGAN, Miss Margaret",21,3rd Class Passenger,370370£7 15s,Queenstown,,
"MADILL, Miss Georgette Alexandra",16,1st Class Passenger,24160£211 6s 9d,Southampton,,2
"MADSEN, Mr Fridtjof Arne",24,3rd Class Passenger,17369£7 2s 10d,Southampton,,13
"MÄENPÄÄ, Mr Matti Alexanteri",22,3rd Class Passenger,3101275£7 2s 6d,Southampton,,
"MAGILL, Mr John",37,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MAGUIRE, Mr John Edward",30,1st Class Passenger,110469£26,Southampton,,
"MAHON, Miss Bridget Delia",20,3rd Class Passenger,330924£7 17s 7d,Queenstown,,
"MAIONI, Miss Roberta Elizabeth Mary",20,1st Class PassengerServant,110152£86 10s,Southampton,Personal Maid,8
"MAJOR, Mr William James",32,Engineering Crew,,Southampton,Fireman,13
"MAJOR, Mr Thomas Edgar",35,Victualling Crew,,Belfast,Bathroom Steward (1st Class),
"MÄKINEN, Mr Kalle Edvard",29,3rd Class Passenger,3101268£7 18s 6d,Southampton,General Labourer,
"MALACHARD, Mr Jean-Noël",25,2nd Class Passenger,237735£15 11d,Cherbourg,,
"MALLET, Mr Albert Denis Pierre",45,2nd Class Passenger,2079£37 1d,Cherbourg,Merchant,
"MALLET, Mrs Antonine Marie",24,2nd Class Passenger,2079£37 1d,Cherbourg,,
"MALLET, Master André Clement",1,2nd Class Passenger,2079£37 1d,Cherbourg,,
"M?M?, Mr Hann? Mik?'?l",20,3rd Class Passenger,2677£7 4s 7d,Cherbourg,,
"MANGAN, Miss Mary",32,3rd Class Passenger,364850£7 15s,Queenstown,,[61]
"MANGIAVACCHI, Mr Emilio Giovanni Andrea Onorato",47,2nd Class Passenger,32861£15 11s 7d,Cherbourg,Clerk,
"MANLY, Mr A.",23,Victualling CrewFailed to Join Ship,,Southampton,Third Class Steward,
"MANN, Mr Samuel",40,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MANN, Mr Joseph",26,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"MANNION, Miss Margaret",28,3rd Class Passenger,36866£7 14s 9d,Queenstown,,
"MANTLE, Mr Roland Frederick",40,Victualling Crew,,Southampton,3rd Class Steward,
"MARCH, Mr John Starr",50,Victualling CrewPostal Clerk,,Southampton,Postal Clerk / Postman,[225]
"MARDIROSIAN, Mr Sarkis",25,3rd Class Passenger,2655£7 4s 7d,Cherbourg,Farm Labourer,
"MARÉCHAL, Mr Pierre",29,1st Class Passenger,11774£29 14s,Cherbourg,Aviator,7
"MARETT, Mr George John",26,Engineering Crew,,Southampton,Fireman,
"MARINKO, Mr Dmitri",23,3rd Class Passenger,349238£7 17s 11d,Southampton,,
"MARKOFF, Mr Marin",35,3rd Class Passenger,349213£7 17s 11d,Southampton,General Labourer,
"MARKS, Mr James",27,Victualling Crew,,Southampton,Assistant Pantryman Steward (1st Class),
"MARKUN, Mr Johann",33,3rd Class Passenger,349257£7 17s 11d,Cherbourg,General Labourer,
"MARRIOTT, Mr John William",21,Victualling Crew,,Southampton,Assistant Pantryman Steward (1st Class),[2]
"MARSDEN, Miss Evelyn",28,Victualling Crew,,Southampton,Stewardess,16
"MARSH, Mr Frederick Charles",39,Engineering Crew,,Southampton,Fireman,[268]
"MARTIN, Mr John",33,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MARTIN, Mrs Annie Martha",39,Victualling Crew,,Southampton,Stewardess,11* 
"MARTIN, Miss Mabel Elvina",20,Restaurant Staff,,Southampton,Cashier,6
"MARVIN, Mr Daniel Warner",18,1st Class Passenger,113773£53 2s,Southampton,Of Independent Means,
"MARVIN, Mrs Mary Graham Carmichael",18,1st Class Passenger,113773£53 2s,Southampton,,
"MASKELL, Mr Leopold Adolphus",25,Engineering Crew,,Southampton,Trimmer,
"MASON, Mr Frank Archibald Robert",32,Engineering Crew,,Southampton,Fireman,
"MASON, Mr J.",39,Engineering Crew,,Southampton,Leading Fireman,
"MASSEY, Mr James",37,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MATHERS, Mr John",24,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MATHERSON, Mr David",33,Deck Crew,,Southampton,Able Seaman,[192]
"MATHIAS, Mr Montague Vincent",29,Deck Crew,,Southampton,Mess Steward,
"MATINOFF, Mr Nicola",30,3rd Class Passenger,349255£7 17s 11d,Cherbourg,,
"MATTHEWS, Mr William John",23,2nd Class Passenger,28228£13,Southampton,China Clay Worker,
"MATTMANN, Mr Adolf",20,Restaurant Staff,,Southampton,Ice Man,
"MAUGÉ, Mr Paul Achille Maurice Germain",25,Restaurant Staff,,Southampton,Kitchen Clerk,13
"MAWHINNEY, Mr John",57,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"MAXWELL, Mr William",39,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MAXWELL, Mr John",29,Deck Crew,,Belfast,Carpenter / Joiner,
"MAY, Mr Arthur William",22,Engineering Crew,,Southampton,Fireman,
"MAY, Mr Arthur William",59,Engineering Crew,,Southampton,Fireman Messman,
"MAY, Mr Richard William",54,1st Class PassengerCross Channel Passenger,84£24,Southampton,Fishmonger,
"MAY, Mr Stanley James",45,1st Class PassengerCross Channel Passenger,84£24,Southampton,Architect,
"MAYBERY, Mr Frank Hubert",36,2nd Class Passenger,239059£16,Southampton,Property Developer / Real Estate,
"MAYES, Mr William",29,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MAYNARD, Mr Isaac Hiram",31,Victualling Crew,,Belfast,Entrée Cook,B 
"MAYNÉ, Mlle Berthe Antonine",24,1st Class Passenger,17482£49 10s 1d,Cherbourg,Singer,6* 
"MAYO, Mr William Peter",27,Engineering Crew,,Southampton,Leading Fireman,[177]
"MAYTUM, Mr Alfred",53,Victualling Crew,,Belfast,Chief Butcher,[141]
"MAYZES, Mr Thomas Jubilee",25,Engineering Crew,,Southampton,Fireman,3* 
"MCALLISTER, Mr Daniel",29,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCALLISTER, Mr Hugh",39,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCANDREW, Mr Thomas Patrick",38,Engineering Crew,,Southampton,Fireman,
"MCANDREWS, Mr William",23,Engineering Crew,,Southampton,Fireman,
"MCANESPIE, Mr James",52,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"MCARTHUR, Mr James",32,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCATEER, Mr John",37,Engineering Crew(Delivery trip only),,Belfast,Greaser,
"MCBARTY, Mr Thomas",,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCCAFFRY, Mr Thomas Francis",46,1st Class Passenger,13050£75 4s 10d,Southampton,Banker,[292]
"MCCARRON, Mr David John",33,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCCARTHY, Mr William",48,Deck Crew,,Southampton,Able Seaman,4
"MCCARTHY, Mr Timothy John",54,1st Class Passenger,17463£51 17s 3d,Southampton,Buyer,[175]
"MCCARTHY, Miss Catherine",24,3rd Class Passenger,383123£7 15s,Queenstown,Domestic Servant,15* 
"MCCARTNEY, Mr John",52,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"MCCARTY, Mr Frederick James",38,Victualling Crew,,Southampton,Bedroom Steward (1st Class),
"MCCASTLIN, Mr William",28,Engineering Crew,,Southampton,Fireman,
"MCCAWLEY, Mr Thomas W.",36,Victualling Crew,,Belfast,Gymnasium Steward,
"MCCORMACK, Mr Thomas Joseph",19,3rd Class Passenger,367228£7 15s,Queenstown,Barman,
"MCCOY, Miss Agnes",29,3rd Class Passenger,367226£23 5s,Queenstown,,
"MCCOY, Miss Alice",26,3rd Class Passenger,367226£23 5s,Queenstown,,
"MCCOY, Mr Bernard",24,3rd Class Passenger,367226£23 5s,Queenstown,General Labourer,
"MCCRAE, Mr Arthur Gordon",32,2nd Class Passenger,237216£13 10s,Southampton,Engineer,[209]
"MCCRIE, Mr James Matthew",32,2nd Class Passenger,233478£13,Southampton,Oil Worker,
"MCDERMOTT, Miss Bridget Delia",31,3rd Class Passenger,330932£7 15s 8d,Queenstown,,
"MCDONALD, Mr George",30,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCDONALD, Mr Daniel",28,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MCELROY, Mr Hugh Walter",37,Victualling Crew,,Southampton,Purser,[157]
"MCENTEE, Mr Charles Edward",40,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCERLEAN, Mr John",51,Engineering Crew(Delivery trip only),,Belfast,Greaser,
"MCEVOY, Mr Michael",20,3rd Class Passenger,36568£15 10s,Queenstown,Farm Labourer,
"MCGANN, Mr James",29,Engineering Crew,,Southampton,Trimmer,B 
"MCGARVEY, Mr Edward Joseph",34,Engineering Crew,,Southampton,Fireman,
"MCGAW, Mr Erroll Victor",30,Engineering Crew,,Southampton,Fireman,
"MCGAW, Mr Samuel",34,Engineering Crew(Delivery trip only),,Belfast,Leading Fireman,
"MCGEE, Mr Samuel",48,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCGEE, Mr Patrick",33,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCGILL, Mr Thomas",29,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MCGIVERN, Mr Thomas",43,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCGIVERN, Mr Henry",41,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MCGONIGAL, Mr William",55,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"MCGOUGH, Mr Francis",25,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCGOUGH, Mr George Francis 'Paddy'",36,Deck Crew,,Southampton,Able Seaman,9
"MCGOUGH, Mr James Robert",35,1st Class Passenger,17473£26 5s 9d,Southampton,Buyer,7
"MCGOVERN, Miss Mary",20,3rd Class Passenger,330931£7 17s 7d,Queenstown,,
"MCGOWAN, Miss Catherine",42,3rd Class Passenger,9232£7 15s,Queenstown,,
"MCGOWAN, Miss Anna Louise",17,3rd Class Passenger,330923£8 7d,Queenstown,,
"MCGOWN, Mr Barney",43,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCGRADY, Mr James",27,Victualling Crew,,Southampton,Saloon Steward,[330]
"MCGREEVY, Mr Richard",25,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MCGROGAN, Mr John",51,Engineering Crew(Delivery trip only),,Belfast,Greaser,
"MCILROY, Mr William",40,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCILROY, Mr Bernard",26,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCILROY, Mr Robert David",24,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MCILROY, Mr James",45,Engineering Crew(Delivery trip only),,Belfast,Greaser,
"MCILWAINE, Mr James",25,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MCINERNEY, Mr Thomas",38,Engineering Crew,,Southampton,Greaser,
"MCINTYRE, Mr William",21,Engineering Crew,,Southampton,Trimmer,A* 
"MCKANE, Mr Peter Daniel",46,2nd Class Passenger,28403£26,Southampton,Quarryman,
"MCKAY, Mr Charles Donald",30,Victualling Crew,,Belfast,Saloon Steward,11
"MCKENNA, Mr Barney",32,Engineering Crew(Delivery trip only),,Belfast,Leading Fireman,
"MCKENNA, Mr Patrick",40,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"MCKINNEY, Mr Peter",37,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCKINSTRY, Mr Charles Frederick",40,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCLAREN, Mrs Hypatia",42,Victualling Crew,,Southampton,Stewardess,5* 
"MCMAHON, Mr Martin",19,3rd Class Passenger,370372£7 15s,Queenstown,Farm Labourer,
"MCMICKEN, Mr Arthur",26,Victualling Crew,,Belfast,Saloon Steward (1st class),11
"MCMICKEN, Mr Benjamin Tucker",21,Victualling Crew,,Belfast,Second Pantry Steward,
"MCMILLEN, Mr Samuel",28,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCMILLEN, Mr William John",36,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCMILLEN, Mr Thomas",55,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCMULLAN, Mr Patrick",30,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"MCMULLAN, Mr Richard",19,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MCMULLAN, Mr William",40,Engineering Crew(Delivery trip only),,Belfast,Greaser,
"MCMULLIN, Mr John Richard",36,Victualling Crew,,Belfast,First class saloon steward,
"MCMURRAY, Mr William",44,Victualling Crew,,Belfast,1st Class Bedroom Steward,
"MCNAMEE, Mr Neal",27,3rd Class Passenger,376566£16 2s,Southampton,Provision Manager,
"MCNAMEE, Mrs Eileen",19,3rd Class Passenger,376566£16 2s,Southampton,,[53]
"MCNEILL, Miss Bridget",32,3rd Class Passenger,370368£7 15s,Queenstown,,
"MCQUILLAN, Mr William",26,Engineering Crew,,Belfast,Fireman,[183]
"MCRAE, Mr William Alexander",32,Engineering Crew,,Southampton,Fireman,
"MCREYNOLDS, Mr William Thomas Carson",22,Engineering Crew,,Belfast,Junior 6th. Engineer,
"MEANWELL, Mrs Marian",62,3rd Class Passenger,392087£8 1s,Southampton,Milliner,
"MECHAN, Mr William",38,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"MEEHAN, Mr John",22,3rd Class Passenger,3130£7 15s,Queenstown,General Labourer,
"MEEK, Mrs Annie Louisa",32,3rd Class Passenger,343095£8 1s,Southampton,,
